Tx,Ty,Tn,Ti,Nx,Ny,Ni,Nn,Kx,Ky,time_ms
8,8,32,8,56,28,64,64,3,3,0.873000
8,8,32,8,56,28,128,128,3,3,3.107000
8,8,32,8,56,28,256,256,3,3,10.923000
8,8,32,8,28,224,64,64,3,3,2.767000
8,8,32,8,28,224,128,128,3,3,10.353000
8,8,32,8,28,224,256,256,3,3,38.093000
8,8,32,8,28,112,64,64,3,3,1.479000
8,8,32,8,28,112,128,128,3,3,5.526000
8,8,32,8,28,112,256,256,3,3,19.788000
8,8,32,8,28,56,64,64,3,3,0.939000
8,8,32,8,28,56,128,128,3,3,2.915000
8,8,32,8,28,56,256,256,3,3,11.109000
8,8,32,8,28,28,64,64,3,3,0.555000
8,8,32,8,28,28,128,128,3,3,1.835000
8,8,32,8,28,28,256,256,3,3,6.089000
8,8,32,16,224,224,64,64,3,3,19.875000
8,8,32,16,224,224,128,128,3,3,72.582000
8,8,32,16,224,224,256,256,3,3,293.817000
8,8,32,16,224,112,64,64,3,3,10.152000
8,8,32,16,224,112,128,128,3,3,37.046000
8,8,32,16,224,112,256,256,3,3,148.050000
8,8,32,16,224,56,64,64,3,3,5.166000
8,8,32,16,224,56,128,128,3,3,20.335000
8,8,32,16,224,56,256,256,3,3,74.727000
8,8,32,16,224,28,64,64,3,3,2.743000
8,8,32,16,224,28,128,128,3,3,10.301000
8,8,32,16,224,28,256,256,3,3,39.601000
8,8,32,16,112,224,64,64,3,3,10.251000
8,8,32,16,112,224,128,128,3,3,38.837000
8,8,32,16,112,224,256,256,3,3,149.057000
8,8,32,16,112,112,64,64,3,3,5.141000
8,8,32,16,112,112,128,128,3,3,20.345000
8,8,32,16,112,112,256,256,3,3,76.490000
8,8,32,16,112,56,64,64,3,3,2.607000
8,8,32,16,112,56,128,128,3,3,10.064000
8,8,32,16,112,56,256,256,3,3,37.939000
8,8,32,16,112,28,64,64,3,3,1.440000
8,8,32,16,112,28,128,128,3,3,5.517000
8,8,32,16,112,28,256,256,3,3,19.904000
8,8,32,16,56,224,64,64,3,3,5.315000
8,8,32,16,56,224,128,128,3,3,19.399000
8,8,32,16,56,224,256,256,3,3,76.147000
8,8,32,16,56,112,64,64,3,3,2.749000
8,8,32,16,56,112,128,128,3,3,10.415000
8,8,32,16,56,112,256,256,3,3,37.956000
8,8,32,16,56,56,64,64,3,3,1.462000
8,8,32,16,56,56,128,128,3,3,5.572000
8,8,32,16,56,56,256,256,3,3,19.902000
8,8,32,16,56,28,64,64,3,3,0.824000
8,8,32,16,56,28,128,128,3,3,3.092000
8,8,32,16,56,28,256,256,3,3,10.991000
8,8,32,16,28,224,64,64,3,3,2.767000
8,8,32,16,28,224,128,128,3,3,10.362000
8,8,32,16,28,224,256,256,3,3,38.063000
8,8,32,16,28,112,64,64,3,3,1.458000
8,8,32,16,28,112,128,128,3,3,5.509000
8,8,32,16,28,112,256,256,3,3,19.745000
8,8,32,16,28,56,64,64,3,3,0.926000
8,8,32,16,28,56,128,128,3,3,2.941000
8,8,32,16,28,56,256,256,3,3,10.839000
8,8,32,16,28,28,64,64,3,3,0.553000
8,8,32,16,28,28,128,128,3,3,1.832000
8,8,32,16,28,28,256,256,3,3,6.118000
16,16,8,8,224,224,64,64,3,3,20.228000
16,16,8,8,224,224,128,128,3,3,74.617000
16,16,8,8,224,224,256,256,3,3,297.475000
16,16,8,8,224,112,64,64,3,3,10.107000
16,16,8,8,224,112,128,128,3,3,37.042000
16,16,8,8,224,112,256,256,3,3,150.486000
16,16,8,8,224,56,64,64,3,3,5.168000
16,16,8,8,224,56,128,128,3,3,19.210000
16,16,8,8,224,56,256,256,3,3,76.762000
16,16,8,8,224,28,64,64,3,3,2.733000
16,16,8,8,224,28,128,128,3,3,10.268000
16,16,8,8,224,28,256,256,3,3,39.670000
16,16,8,8,112,224,64,64,3,3,10.106000
16,16,8,8,112,224,128,128,3,3,37.056000
16,16,8,8,112,224,256,256,3,3,149.911000
16,16,8,8,112,112,64,64,3,3,5.181000
16,16,8,8,112,112,128,128,3,3,19.181000
16,16,8,8,112,112,256,256,3,3,75.071000
16,16,8,8,112,56,64,64,3,3,2.618000
16,16,8,8,112,56,128,128,3,3,10.126000
16,16,8,8,112,56,256,256,3,3,38.157000
16,16,8,8,112,28,64,64,3,3,1.448000
16,16,8,8,112,28,128,128,3,3,5.479000
16,16,8,8,112,28,256,256,3,3,21.195000
16,16,8,8,56,224,64,64,3,3,5.322000
16,16,8,8,56,224,128,128,3,3,20.633000
16,16,8,8,56,224,256,256,3,3,76.275000
16,16,8,8,56,112,64,64,3,3,2.756000
16,16,8,8,56,112,128,128,3,3,10.454000
16,16,8,8,56,112,256,256,3,3,38.015000
16,16,8,8,56,56,64,64,3,3,1.490000
16,16,8,8,56,56,128,128,3,3,5.545000
16,16,8,8,56,56,256,256,3,3,21.273000
16,16,8,8,56,28,64,64,3,3,0.885000
16,16,8,8,56,28,128,128,3,3,3.033000
16,16,8,8,56,28,256,256,3,3,11.020000
16,16,8,8,28,224,64,64,3,3,2.780000
16,16,8,8,28,224,128,128,3,3,10.368000
16,16,8,8,28,224,256,256,3,3,37.878000
16,16,8,8,28,112,64,64,3,3,1.467000
16,16,8,8,28,112,128,128,3,3,5.525000
16,16,8,8,28,112,256,256,3,3,20.032000
16,16,8,8,28,56,64,64,3,3,0.941000
16,16,8,8,28,56,128,128,3,3,2.921000
16,16,8,8,28,56,256,256,3,3,10.854000
16,16,8,8,28,28,64,64,3,3,0.553000
16,16,8,8,28,28,128,128,3,3,1.832000
16,16,8,8,28,28,256,256,3,3,6.095000
16,16,8,16,224,224,64,64,3,3,19.035000
16,16,8,16,224,224,128,128,3,3,72.632000
16,16,8,16,224,224,256,256,3,3,293.947000
16,16,8,16,224,112,64,64,3,3,10.060000
16,16,8,16,224,112,128,128,3,3,37.375000
16,16,8,16,224,112,256,256,3,3,149.506000
16,16,8,16,224,56,64,64,3,3,5.154000
16,16,8,16,224,56,128,128,3,3,19.161000
16,16,8,16,224,56,256,256,3,3,74.755000
16,16,8,16,224,28,64,64,3,3,2.726000
16,16,8,16,224,28,128,128,3,3,10.273000
16,16,8,16,224,28,256,256,3,3,37.791000
16,16,8,16,112,224,64,64,3,3,10.202000
16,16,8,16,112,224,128,128,3,3,37.964000
16,16,8,16,112,224,256,256,3,3,147.288000
16,16,8,16,112,112,64,64,3,3,5.170000
16,16,8,16,112,112,128,128,3,3,19.364000
16,16,8,16,112,112,256,256,3,3,76.492000
16,16,8,16,112,56,64,64,3,3,2.608000
16,16,8,16,112,56,128,128,3,3,10.021000
16,16,8,16,112,56,256,256,3,3,37.882000
16,16,8,16,112,28,64,64,3,3,1.441000
16,16,8,16,112,28,128,128,3,3,5.534000
16,16,8,16,112,28,256,256,3,3,20.527000
16,16,8,16,56,224,64,64,3,3,5.314000
16,16,8,16,56,224,128,128,3,3,19.377000
16,16,8,16,56,224,256,256,3,3,74.106000
16,16,8,16,56,112,64,64,3,3,2.746000
16,16,8,16,56,112,128,128,3,3,10.494000
16,16,8,16,56,112,256,256,3,3,37.932000
16,16,8,16,56,56,64,64,3,3,1.455000
16,16,8,16,56,56,128,128,3,3,5.489000
16,16,8,16,56,56,256,256,3,3,20.873000
16,16,8,16,56,28,64,64,3,3,0.856000
16,16,8,16,56,28,128,128,3,3,3.108000
16,16,8,16,56,28,256,256,3,3,11.231000
16,16,8,16,28,224,64,64,3,3,2.745000
16,16,8,16,28,224,128,128,3,3,10.377000
16,16,8,16,28,224,256,256,3,3,37.858000
16,16,8,16,28,112,64,64,3,3,1.466000
16,16,8,16,28,112,128,128,3,3,5.522000
16,16,8,16,28,112,256,256,3,3,21.048000
16,16,8,16,28,56,64,64,3,3,0.936000
16,16,8,16,28,56,128,128,3,3,2.894000
16,16,8,16,28,56,256,256,3,3,10.878000
16,16,8,16,28,28,64,64,3,3,0.552000
16,16,8,16,28,28,128,128,3,3,1.833000
16,16,8,16,28,28,256,256,3,3,6.032000
16,16,16,8,224,224,64,64,3,3,18.996000
16,16,16,8,224,224,128,128,3,3,74.887000
